Таблица;Источник
"1. ОСНОВНЫЕ ФИНАНСОВЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ ОРГАНИЗАЦИЙ";
"2. БАЛАНС ОРГАНИЗАЦИЙ";
"3. ОТДЕЛЬНЫЕ ПОКАЗАТЕЛИ ПЛАТЕЖЕСПОСОБНОСТИ И ФИНАНСОВОЙ УСТОЙЧИВОСТИ ОРГАНИЗАЦИЙ";
"4. БАЛАНС ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t01Ved14.xlsx
"5. БАЛАНС ОРГАНИЗАЦИЙ ПО МУНИЦИПАЛЬНЫМ ОБРАЗОВАНИЯМ КАМЧАТСКОГО КРАЯ";S25_000000_t01Ved14mo8.xlsx
"6. ВНЕОБОРОТНЫЕ АКТИВЫ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t03Ved14.xlsx
"7. ОБОРОТНЫЕ АКТИВЫ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t10Ved14.xlsx
"8. ОБОРАЧИВАЕМОСТЬ ОБОРОТНЫХ АКТИВОВ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t13Ved14.xlsx
"9. ФИНАНСОВЫЕ АКТИВЫ И ОБЯЗАТЕЛЬСТВА ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t14Ved14.xlsx
"10. ДОЛГОСРОЧНЫЕ ОБЯЗАТЕЛЬСТВА ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t20Ved14.xlsx
"11. КРАТКОСРОЧНЫЕ ОБЯЗАТЕЛЬСТВА ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t21Ved14.xlsx
"12. ФИНАНСОВАЯ УСТОЙЧИВОСТЬ И ПЛАТЕЖЕСПОСОБНОСТЬ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t22Ved14.xlsx
"13. ФИНАНСОВАЯ УСТОЙЧИВОСТЬ И ПЛАТЕЖЕСПОСОБНОСТЬ ОРГАНИЗАЦИЙ ПО МУНИЦИПАЛЬНЫМ ОБРАЗОВАНИЯМ КАМЧАТСКОГО КРАЯ";S25_000000_t22Ved14mo8.xlsx
"14. ФОРМИРОВАНИЕ ФИНАНСОВЫХ РЕЗУЛЬТАТОВ ОРГАНИЗАЦИЙ ПО ОРГАНИЗАЦИОННО-ПРАВОВЫМ ФОРМАМ";S25_000000_t23-прVed14.xlsx
"15. ГРУППИРОВКА ОРГАНИЗАЦИЙ, ПОЛУЧИВШИХ ПРИБЫЛЬ ИЛИ УБЫТОК, ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t25Ved14.xlsx
"16. ГРУППИРОВКА ОРГАНИЗАЦИЙ, ПОЛУЧИВШИХ ПРИБЫЛЬ ИЛИ УБЫТОК, ПО МУНИЦИПАЛЬНЫМ ОБРАЗОВАНИЯМ КАМЧАТСКОГО КРАЯ";S25_000000_t25Ved14mo8.xlsx
"17. ГРУППИРОВКА ОРГАНИЗАЦИЙ, ПОЛУЧИВШИХ ПРИБЫЛЬ ИЛИ УБЫТОК, ПО ОРГАНИЗАЦИОННО-ПРАВОВЫМ ФОРМАМ";S25_000000_t25OpfVed14.xlsx
"18. ГРУППИРОВКА ОРГАНИЗАЦИЙ, ПОЛУЧИВШИХ ПРИБЫЛЬ ИЛИ УБЫТОК, ПО ФОРМАМ СОБСТВЕННОСТИ";S25_000000_t25FsVed14.xlsx
"19. УРОВЕНЬ РЕНТАБЕЛЬНОСТИ (УБЫТОЧНОСТИ) ПРОДАННЫХ ТОВАРОВ, РАБОТ, УСЛУГ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t26Ved14.xlsx
"20. УРОВЕНЬ РЕНТАБЕЛЬНОСТИ (УБЫТОЧНОСТИ) АКТИВОВ ОРГАНИЗАЦИЙ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t27Ved14.xlsx
"21. ГРУППИРОВКА ОРГАНИЗАЦИЙ ПО КОЭФФИЦИЕНТУ ТЕКУЩЕЙ ЛИКВИДНОСТИ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ";S25_000000_t28Ved14.xlsx
